1,1/2013,"ARC-Kranj, d.o.o.",Hrastje 52K,Kranj,4000,SI55819788,2265052000,info@arc.si,46.450,,,,IM,pridobitelj embaliranega blaga,QD,1.10.2013,17.5.2013,,Živa Štrukelj,+386 4 29 27 611,ziva.strukelj@arc.si,,Andreja Bohinc Kolman,,,,"410,000","40,000","16.400,00",,"37,000","0,00","410,000",,"39,000","0,00","235,000","36,000","8.460,00","235,000",,"36,000","0,00","645,000","235,000","645,000","24.860,00","200,000","45,000","9.000,00",,"36,000","0,00","35,000","40,000","1.400,00","235,000",,"44,000","0,00","11,000","35,000","385,00",,"39,000","0,00","11,000",,"35,000","0,00","246,000","11,000","246,000","10.785,00",,"40,000","0,00",,"39,000","0,00",,"39,000","0,00","0,000","0,000","0,000","0,00","50,000","40,000","2.000,00",,"39,000","0,00",,"39,000","0,00","50,000","0,000","50,000","2.000,00","120,000","28,000","3.360,00",,"27,000","0,00",,"27,000","0,00","120,000","0,000","120,000","3.360,00","12,000","29,000","348,00",,"28,000","0,00",,"28,000","0,00","12,000","0,000","12,000","348,00",,"55,000","0,00",,"54,000","0,00",,"54,000","0,00","0,000","0,000","0,000","0,00",,"420,000","0,00",,"419,000","0,00",,"419,000","0,00","0,000","0,000","0,000","0,00","827,000","246,000","1.073,000","0,000","246,000","1.073,000","41.353,00"
2,2/2013,"VINAKOPER, d.o.o. Koper",Šmarska cesta 1,Koper - Capodistria,6000,SI72275189,5358531000,,11.020,,,,IM,embaler,QD,1.1.2014,16.5.2013,,Vinko Stupar,+386 51 309 047,stupar@vinakoper.si,podpisana pog. za KU,,,,,,,"0,00",,,"0,00","0,000",,,"0,00","109,733",,"0,00","109,733","14,440",,"0,00","109,733","124,173","124,173","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,048",,"0,00",,,"0,00",,,"0,00","0,048","8,400",,"0,00","0,048","8,448","8,448","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00","9,135",,"0,00",,,"0,00","9,135","9,135","9,135","0,00",,,"0,00","1.128,834",,"0,00","13,370",,"0,00","1.128,834","1.142,204","1.142,204","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00","2,938",,"0,00",,,"0,00","2,938","2,938","2,938","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00","0,000","1.250,688","1.250,688","36,210","1.286,898","1.286,898","0,00"
3,3/2013,"SALUS, Veletrgovina, d.o.o.",Litostrojska 46A,Ljubljana,1000,SI81653506,6398707000,,46.460,,,,SZ,pridobitelj embaliranega blaga,QP,1.8.2013,25.7.2013,,Marjeta Rede,+386 1 58 99 197,marjeta.rede@salus.si,,Aleš Cerkvenik,+386 41 360 259,,,"70,000",,"0,00",,,"0,00","70,000",,,"0,00",,,"0,00","0,000","15,000",,"0,00","70,000","15,000","85,000","0,00","28,000",,"0,00",,,"0,00",,,"0,00","28,000",,,"0,00",,,"0,00",,,"0,00","0,000","2,500",,"0,00","28,000","2,500","30,500","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00","2,000",,"0,00",,,"0,00",,,"0,00","2,000","0,000","2,000","0,00","6,600",,"0,00",,,"0,00",,,"0,00","6,600","0,000","6,600","0,00","10,000",,"0,00",,,"0,00",,,"0,00","10,000","0,000","10,000","0,00","0,800",,"0,00",,,"0,00",,,"0,00","0,800","0,000","0,800","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00","117,400","0,000","117,400","17,500","17,500","134,900","0,00"
4,4/2013,"GAMA trgovina, d.o.o.",Blatnica 1,Trzin,1236,SI66311322,5380740000,gama.doo@siol.net,46.340,,,,IM,pridobitelj embaliranega blaga,MP,1.1.2014,20.9.2013,,Petra Mekiš,+386 41 744 191,petra.mekis@gama.si,Imajo lokacijo prevzema odpadne embalaže pod drugo pravno osebo na Celovški. Pla?ilni rok se spremeni iz 30 dnevnega v 90 dnevni pla?ilni rok. Fakture se izdajo zadnji dan v mesecu.,,,,,"75,709","53,000","4.012,58",,"42,000","0,00","75,709",,"52,000","0,00",,"41,000","0,00","0,000",,"41,000","0,00","75,709","0,000","75,709","4.012,58","0,040","67,000","2,68",,"42,000","0,00","29,994","42,000","1.259,75","30,034",,"66,000","0,00","12,638","41,000","518,16",,"41,000","0,00","12,638",,"41,000","0,00","42,672","12,638","42,672","1.780,59",,"42,000","0,00","17,535","41,000","718,94",,"41,000","0,00","17,535","17,535","17,535","718,94","151,932","45,000","6.836,94",,"44,000","0,00",,"44,000","0,00","151,932","0,000","151,932","6.836,94","571,756","35,000","20.011,46",,"34,000","0,00",,"34,000","0,00","571,756","0,000","571,756","20.011,46",,"39,000","0,00",,"38,000","0,00",,"38,000","0,00","0,000","0,000","0,000","0,00",,"62,000","0,00",,"61,000","0,00",,"61,000","0,00","0,000","0,000","0,000","0,00",,"549,000","0,00",,"548,000","0,00",,"548,000","0,00","0,000","0,000","0,000","0,00","829,431","30,173","859,604","0,000","30,173","859,604","33.360,50"
5,5/2013,NEPLAST d.o.o. Miren,Miren 137,Miren,5291,SI56661789,5712416000,neplast@s5.net,22.220,,,,SZ,pridobitelj embaliranega blaga,QD,1.1.2014,2.10.2013,,Renato Klan?i?,+386 5 39 54 140,neplast@neplast.si,,,,,,,,"0,00",,,"0,00","0,000",,,"0,00","20,469",,"0,00","20,469",,,"0,00","20,469","20,469","20,469","0,00","127,773",,"0,00",,,"0,00",,,"0,00","127,773",,,"0,00",,,"0,00",,,"0,00","0,000",,,"0,00","127,773","0,000","127,773","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00","127,773","20,469","148,242","0,000","20,469","148,242","0,00"
6,6/2013,SPAR SLOVENIJA d.o.o.,Letališka cesta 26,Ljubljana,1000,SI32156782,5571693000,,47.110,,,,MZ,"pr. emb. blaga, emaler",QD,1.1.2014,20.9.2013,,Smiljan Veber,+386 1 58 44 547,odpadki@spar.si,"stranka poro?a vse pod NKOE, pri ra?unu upoštevati bone!!!. Na ra?un vpiši opombo: SPAR IN RECIKEL se pobotata v višini 10.000,00 EUR z darilnimi boni Spar oz. z darilnimi karticami Spar",,,,,,,"0,00",,,"0,00","0,000","760,000",,"0,00","3.080,000",,"0,00","3.840,000",,,"0,00","3.840,000","3.840,000","3.840,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","695,000",,"0,00","436,000",,"0,00","382,000",,"0,00","1.513,000",,,"0,00","1.513,000","1.513,000","1.513,000","0,00",,,"0,00","830,000",,"0,00",,,"0,00","830,000","830,000","830,000","0,00",,,"0,00","508,000",,"0,00",,,"0,00","508,000","508,000","508,000","0,00",,,"0,00","853,000",,"0,00",,,"0,00","853,000","853,000","853,000","0,00",,,"0,00","401,000",,"0,00",,,"0,00","401,000","401,000","401,000","0,00",,,"0,00","67,600",,"0,00",,,"0,00","67,600","67,600","67,600","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00","0,000","8.012,600","8.012,600","0,000","8.012,600","8.012,600","0,00"
7,7/2013,"POT, Ljubljana, d.o.o.",Tacenska cesta 29,Ljubljana,1000,SI67254101,5288371000,,46.490,,,,IM,proizvajalec,QP,1.1.2014,26.9.2013,,Tone Cör,++386 1 50 00 374,tone.cor@pot.si,,,,,,"22,000","54,000","1.188,00",,"42,000","0,00","22,000",,"53,000","0,00",,"41,000","0,00","0,000",,"41,000","0,00","22,000","0,000","22,000","1.188,00",,"65,000","0,00",,"42,000","0,00",,"46,000","0,00","0,000",,"64,000","0,00",,"41,000","0,00",,"45,000","0,00","0,000",,"41,000","0,00","0,000","0,000","0,000","0,00",,"42,000","0,00",,"42,000","0,00",,"42,000","0,00","0,000","0,000","0,000","0,00",,"45,000","0,00",,"44,000","0,00",,"44,000","0,00","0,000","0,000","0,000","0,00",,"30,000","0,00",,"29,000","0,00",,"29,000","0,00","0,000","0,000","0,000","0,00",,"39,000","0,00",,"38,000","0,00",,"39,000","0,00","0,000","0,000","0,000","0,00",,"62,000","0,00",,"61,000","0,00",,"61,000","0,00","0,000","0,000","0,000","0,00",,"549,000","0,00",,"548,000","0,00",,"548,000","0,00","0,000","0,000","0,000","0,00","22,000","0,000","22,000","0,000","0,000","22,000","1.188,00"
8,8/2013,"IRBIS, d.o.o., Ilirska Bistrica",Koseze 32C,Ilirska Bistrica,6250,SI17641217,5411637000,info@irbis.si,20.410,,,,IM,embaler,QP,1.1.2014,30.9.2013,,Maja Mršnik,+386 5 71 00 280,maja-mrsnik@irbis.si,,,,,,,"54,000","0,00",,"42,000","0,00","0,000",,"53,000","0,00","3,100","41,000","127,10","3,100",,"41,000","0,00","3,100","3,100","3,100","127,10","8,700","65,000","565,50",,"42,000","0,00",,"46,000","0,00","8,700",,"64,000","0,00","0,080","41,000","3,28",,"45,000","0,00","0,080",,"41,000","0,00","8,780","0,080","8,780","568,78",,"42,000","0,00",,"42,000","0,00",,"42,000","0,00","0,000","0,000","0,000","0,00",,"45,000","0,00",,"44,000","0,00",,"44,000","0,00","0,000","0,000","0,000","0,00",,"30,000","0,00",,"29,000","0,00",,"29,000","0,00","0,000","0,000","0,000","0,00",,"39,000","0,00",,"38,000","0,00",,"38,000","0,00","0,000","0,000","0,000","0,00",,"62,000","0,00",,"61,000","0,00",,"61,000","0,00","0,000","0,000","0,000","0,00",,"549,000","0,00",,"548,000","0,00",,"548,000","0,00","0,000","0,000","0,000","0,00","8,700","3,180","11,880","0,000","3,180","11,880","695,88"
9,9/2013,FIBKOMERC d.o.o.,Pri vrtnariji 63,Maribor,2000,SI63119528,1189514000,fibkomerc@amis.net,46.750,,,,MR,embaler,QP,4.10.2013,4.10.2013,,Agica Miheli?,+386 2 47 16 770,tajnistvo@fibkomerc.si,,Branko Fingušt,,,,,,"0,00",,,"0,00","0,000","13,000",,"0,00",,,"0,00","13,000",,,"0,00","13,000","13,000","13,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","2,400",,"0,00",,,"0,00",,,"0,00","2,400",,,"0,00","2,400","2,400","2,400","0,00",,,"0,00","13,000",,"0,00",,,"0,00","13,000","13,000","13,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00","0,000","28,400","28,400","0,000","28,400","28,400","0,00"
10,10/2013,JUNONA d.o.o.,Pri vrtnariji 63,Maribor,2000,SI22046186,2360861000,,46.750,,,,MR,pridobitelj embaliranega blaga,NS,4.10.2013,4.10.2013,,Agica Miheli?,+386 2 47 16 770,tajnistvo@fibkomerc.si,prekinitev pogodbe,Peter Fingušt,,,,,,"0,00",,,"0,00","0,000",,,"0,00",,,"0,00","0,000",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000",,,"0,00",,,"0,00",,,"0,00","0,000",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00",,,"0,00",,,"0,00",,,"0,00","0,000","0,000","0,000","0,00","0,000","0,000","0,000","0,000","0,000","0,000","0,00"
